nameOfInstrument,illustration
镯,体鸣乐器。“八音”分类属“金”。为周代“四金”（錞、镯、铙、铎）之一。古代军队行进时所用，与鼓配合一起敲奏。对其具体形制，历史上有二说。一说，镯即钲。《周礼·地官·鼓人》：“以金镯节鼓。”郑玄注：“镯，钲也。形如小钟，行军鸣之，以为鼓节。”二说，镯似铃，有舌。《说文·金部》：“钲，铙也。似铃，柄中上下通。”清·段玉裁注：“钲，似铃而异于铃者。镯、铃，似钟，有柄为之舌。钲则无舌。”
兹巴,即“金刚铃”的汉译名，藏族语音。
子期,元末明初记载的琴款式之一。托为春秋人物钟子期所设元·陶宗仪《琴笺图式》：“钟子期作，顶直而深，有乱纹如丝，项制半月势。”明·朱厚爝《风宣玄品·历代琴式》：“钟子期作，顶直而深，端有乱纹如丝，漆之不入，项半月势。”
子弦,琵琶上第一弦的俗称。最细。清•姚燮《今乐考证•乐器》：琵琶上“首弦曰子弦。”唐•张祜《王家琵琶》诗：“金屑檀槽玉腕明，子弦轻捻为多情。只愁拍尽凉州破，画出风雷是拨声。”
紫鸾笙,神话中的笙。紫鸾为传说中的神鸟。一说，即“凤笙”。唐·陈子昂诗：“驱驰翠虬驾，伊郁紫鸾笙。”彭庆生注：“紫鸾笙即凤笙，形如凤，色紫。”参见“鸾笙”。
紫鸾箫,即鸾箫。属排箫。前缀“紫”字或与紫竹或紫玉有关。元·乔孟符《倩女离魂·第一折》：“抵多少彩云断紫鸾箫，今夕何处系蘭桡。”
紫佩,箫的雅称。参见“石弦”。
紫檀筚篥,用紫檀木制造的筚篥。约从元代起，觱篥改用木制，所用优质木材为红木、紫檀木甚至乌木。元·张翥诗《紫檀筚篥曲赠善吹者任子中》：“君不见龟兹乐工能新声？截竹插蕓吹月明。……贾胡惊起忽思长，都護罢饮精魂动。传之中国久更新，任郎妙解尤绝伦。镂檀作管如紫玉，连蝉锦囊金作束。等闲未肯出向人，为我酒边吹一曲。”参见“头管”。
紫檀琴,紫檀木所制之琴，系摆设。明•项元卞《蕉窗九录•琴录》：“近有铜琴、石琴、紫檀、乌木者。皆失琴音，虽美何取。”
紫箫,古代有紫竹、紫玉所制之箫，“紫箫”通常为文学描写。《庄周梦·第一折》：“紫箫调弄，香霭澄澄。紫雾濛濛，瑞气腾腾。”
紫玉,传说中仙女喜欢听的箫，为“紫玉箫”的简称。清·厉荃《事物异名录·音乐部》：“陈旅诗：‘仙女乘鸾听紫玉。’按：紫玉，谓箫也。”
紫玉笛,用紫玉为材料的笛。相传汉武帝善奏此器。《太平广记·续玄怪录·柳归舜》：“余昔见汉武帝，乘郁橶，泛积翠池，自吹紫玉笛，音韵郎畅。”十六国时的张骏（307-346年）墓出土过“紫玉笛”。《晋书·吕纂载记》：“即序胡安据盗法张骏墓，见骏貌如生。得真珠簏、玻璃朩盏、白玉樽、赤玉箫、紫玉笛、珊瑚鞭、玛瑙钟、水陆珍奇不可胜纪。”
紫玉鸾箫,排箫用紫玉制故称。古人常借以命名单管洞箫。（参见“鸾箫”）明·冯梦龙《古今小说》第四卷：“阮三独坐无聊，偶在门侧临街小轩内，拿壁间紫玉鸾箫，手中按着宫、商、角、徵、羽，将时样新词曲调清清地吹起。”
紫玉箫,因用紫玉制成故称。宋·陈旸《乐书·俗部·石之属》：“唐威宁中，张毅冢中得紫玉箫，古有紫玉箫曲也。”
紫竹箫,通常单管洞箫以紫竹制故称。一般用九节竹，除吹孔处节隔外，管腔内节隔须凿穿打通。有六个指孔，前五背一，近尾端开有二至四和出音孔，以调准筒音音高（古代音位称“体中音”）。从声学角度看，有了出音孔，出音孔以下管腔对音高、音准影响不大。保持尾端一定长度是为了从“节”、“目”数上遵循“九节十目”的古制（参见“尺八”）。二是为了使音色更富有柔润感。还有一种开有五个侧孔的紫竹箫。清·李斗《扬州画舫录·草河录下》“紫竹箫，长二尺一寸，九节五孔。”
自鸣,传说异琴。名号“吐绶”，闻歌则自和。杨宗稷《琴学丛书》卷四引元·伊世珍《嫏嬛记》：“孙凤有一琴名吐绶。弹之不甚佳，独有人唱曲则琴弦自相属和。因改名曰：自鸣。但琴背有一孔，若蛀者。一日一道人乞食。因见曰：此中有蛀，不除将速朽。袖中出小柱筒，倒黑药少许孔侧，即有绿色虫走出，背上隐隐有金线文，道人纳虫竹筒竟去。自后唱曲，琴弦不复鸣矣。”
总稿机,弦鸣弹拨乐器的译称。清高宗（公元1735～1795年）设十部乐时，被宴飨缅甸乐用。其形如“凤首箜篌”，音箱如船，舱面鞔革。端有曲柱弯上，箱柱间设弦十三。“总”在缅甸语中音Tsaun，广义上指弦乐器；狭义上即指此器。《清会典图•乐十二》：“总稿机，曲木为柄，通槽，面平背圆。槽长二尺二寸五分，阔五寸三分，高五寸五分，背径三寸。面冒以革，为四圆孔以出音，径各五分。槽外曲柄如蝎尾，长二尺四寸，圆径四寸，顺槽腹设覆手，长一尺二寸，高八分，厚四分，穿孔十三，系十三弦各斜引至柄，续以红丝绳，各长三尺，以次束于柄，为十三道。槽面髤朱，背修黑。以手弹之。”
走钟,唐代文献所载钟名。唐吴协《三代鼎器录》：“粤钟、商钟、元子钟、走钟、迟父钟、南和钟、分宁钟、许子小钟、孟和钟。”
足鼓,夏代已有之。两端蒙皮，用棒击，鼓腔下设有四足故称。《礼记·明堂位》：“夏后氏之足鼓；殷楹鼓；周悬鼓。”郑玄注：“足，谓四足也。”现存约商代晚期至西周早期的崇阳铜鼓和双鸟饕餮纹铜鼓都以青铜仿木腔、仿牛皮和鼍皮铸成，鼓皮的边缘仿有钉纹，鼓腔下有足。足鼓、楹鼓、悬鼓，常被称为夏、商、周三代之鼓。
祖鼓,“革鼓”的别称。
嘴琴,“口弦”的别称。清·张庆长《黎技记闻》：“男女未婚者，每于春夏之交齐集旷野。男弹嘴琴，女弄鼻箫，交唱黎歌。有情投意合者，男女各渐凑一处，即定耦配。其不合者，不敢强也。”
最高音东不拉,全长50厘米，腔宽14厘米。柄嵌12品柱，四钢弦，定弦d2、d2、g2、g2或d2、d2、a2、a2。用拨片弹。
觱篥,“觱篥”即“觱篥”。“觱”为“觱”的异体字。唐·杜甫诗《夜闻觱篥》：“夜闻觱篥沧江上，衰争侧听情所响。”
巢,即“巢”。《风俗通·声音》：“大笙谓之巢；小者谓之和”。
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
